timestamp;sensor_index;lane_id;user_type;direction;speed
06/05/2024 00:33:10;1;2;cyclist;out;24
06/05/2024 00:33:10;1;3;cyclist;out;20
06/05/2024 00:40:50;1;1;cyclist;in;24
06/05/2024 00:40:50;1;3;cyclist;in;24
06/05/2024 04:45:20;1;2;cyclist;out;28
06/05/2024 05:37:57;1;3;cyclist;out;20
06/05/2024 05:59:09;1;3;cyclist;in;28
06/05/2024 06:00:05;1;1;cyclist;in;24
06/05/2024 06:05:00;1;1;cyclist;in;24
06/05/2024 06:05:23;1;1;cyclist;in;28
06/05/2024 06:07:32;1;1;cyclist;in;24
06/05/2024 06:11:41;1;3;cyclist;out;24
06/05/2024 06:16:44;1;1;cyclist;in;36
06/05/2024 06:22:34;1;3;cyclist;out;24
06/05/2024 06:23:15;1;1;cyclist;in;28
06/05/2024 06:23:48;1;1;cyclist;in;24
06/05/2024 06:24:02;1;1;cyclist;in;24
06/05/2024 06:24:59;1;1;cyclist;in;28
06/05/2024 06:26:39;1;1;cyclist;in;24
06/05/2024 06:29:37;1;1;cyclist;in;24
06/05/2024 06:31:09;1;1;cyclist;in;24
06/05/2024 06:31:09;1;2;cyclist;in;0
06/05/2024 06:39:38;1;3;cyclist;out;24
06/05/2024 06:42:59;1;1;cyclist;in;24
06/05/2024 06:43:33;1;3;cyclist;out;28
06/05/2024 06:47:10;1;1;cyclist;in;28
06/05/2024 06:55:33;1;1;cyclist;in;24
06/05/2024 06:56:29;1;3;cyclist;out;36
06/05/2024 06:58:03;1;1;cyclist;in;18
06/05/2024 06:58:20;1;1;cyclist;in;20
06/05/2024 06:59:05;1;3;cyclist;out;28
06/05/2024 07:00:29;1;1;cyclist;in;24
06/05/2024 07:00:47;1;1;cyclist;in;20
06/05/2024 07:01:09;1;3;cyclist;out;24
06/05/2024 07:02:27;1;1;cyclist;in;28
06/05/2024 07:07:46;1;1;cyclist;in;24
06/05/2024 07:10:42;1;1;cyclist;in;24
06/05/2024 07:11:00;1;3;cyclist;out;14
06/05/2024 07:12:37;1;1;cyclist;in;20
06/05/2024 07:13:09;1;1;cyclist;in;28
06/05/2024 07:15:30;1;1;cyclist;in;28
06/05/2024 07:16:30;1;1;cyclist;in;24
06/05/2024 07:19:03;1;3;cyclist;out;28
06/05/2024 07:21:28;1;3;cyclist;out;24
